"Local authority","Local authority code","Library name","Address 1","Address 2","Address 3","Postcode","Library type","Unique property reference number","Co-located","Easting","Northing","OA Code","Rural urban classification","IMD"
"Birmingham","E08000025","Library of Birmingham","Centenary Square, Broad Street","Birmingham","West Midlands","B1 2ND","LAL",NULL,"No",406377,286911,"E00046370","A1",3451
"Birmingham","E08000025","Mere Green Library","Mere Green Road","Birmingham","West Midlands","B75 5BT","LAL",NULL,"No",411956,298865,"E00047720","A1",11631
"Birmingham","E08000025","Northfield Library","77 Church Road","Birmingham","West Midlands","B31 2LB","LAL",NULL,"No",402312,279666,"E00046732","A1",12235
"Birmingham","E08000025","Perry Common Library","College Road","Birmingham","West Midlands","B44 0HH","LAL",NULL,"No",408286,292938,"E00046779","A1",12812
"Birmingham","E08000025","Quinton Library","Ridgacre Road","Birmingham","West Midlands","B32 2TW","LAL",NULL,"No",400968,284703,"E00046933","A1",5368
"Birmingham","E08000025","Selly Oak Library","Touchbase Pears, Bristol Road","Birmingham","West Midlands","B29 6NA","CL",NULL,"Yes",404255,282458,"E00047068","A1",10523
"Birmingham","E08000025","Shard End Library","The Shard, All Saints Square","Birmingham","West Midlands","B34 7AG","LAL",NULL,"No",415239,288628,"E00175635","A1",862
"Birmingham","E08000025","Sheldon Library","Brays Road","Birmingham","West Midlands","B26 2RJ","LAL",NULL,"No",414838,284903,"E00047279","A1",4129
"Birmingham","E08000025","Small Heath Library","Muntz Street","Birmingham","West Midlands","B10 9RX","LAL",NULL,"No",409945,286120,"E00047357","A1",217
"Birmingham","E08000025","South Yardley Library","Yardley Road","Birmingham","West Midlands","B25 8LT","LAL",NULL,"No",412555,284689,"E00045138","A1",3023
"Birmingham","E08000025","Sparkhill Library","641 Stratford Road","Birmingham","West Midlands","B11 4EA","LAL",NULL,"No",409308,283519,"E00047581","A1",3112
"Birmingham","E08000025","Spring Hill Library","Spring Hill","Birmingham","West Midlands","B18 7BH","LAL",NULL,"No",405453,287508,"E00047373","A1",775
"Birmingham","E08000025","Stirchley Library","Bournville Lane","Birmingham","West Midlands","B30 2JT","LAL",NULL,"No",405298,281214,"E00045469","A1",9392
"Birmingham","E08000025","Sutton Coldfield Library","Lower Parade","Birmingham","West Midlands","B72 1XX","LAL",NULL,"No",412089,296115,"E00047879","A1",14338
"Birmingham","E08000025","Tower Hill Library","Tower Hill","Birmingham","West Midlands","B42 1LG","LAL",NULL,"No",405519,292865,"E00046845","A1",7391
"Birmingham","E08000025","Walmley Library","Walmley Road","Birmingham","West Midlands","B76 1NP","LAL",NULL,"No",413613,293715,"E00047834","A1",25325
"Birmingham","E08000025","Ward End Library","Washwood Heath Road","Birmingham","West Midlands","B8 2HF","LAL",NULL,"No",411272,288551,"E00048001","A1",1111
"Birmingham","E08000025","Weoley Castle Library","76 Beckbury Road","Birmingham","West Midlands","B29 5HR","LAL",NULL,"No",402269,282341,"E00048100","A1",2044
"Birmingham","E08000025","Yardley Wood Library","Highfield Road","Birmingham","West Midlands","B14 4DU","LAL",NULL,"No",409675,280082,"E00045404","A1",4844
"Blackburn with Darwen","E06000008","Blackburn","Town Hall Street","Blackburn","Lancashire","BB2 1AG","LAL",NULL,"No",368113,428255,"E00063735","C1",8549
"Blackburn with Darwen","E06000008","Cherry Tree Library","Cherry Tree Lane","Blackburn","Lancashire","BB2 5NX","CRL",NULL,"No",365398,426004,"E00063582","C1",24910
"Blackburn with Darwen","E06000008","Darwen","Knott Street","Darwen","Lancashire","BB3 3BU","LAL",100012542545,"No",369319,422350,"E00063780","C1",4001
"Blackburn with Darwen","E06000008","Mill Hill","Mill Hill Community Centre, New Chapel Street","Blackburn","Lancashire","BB2 4DT","CRL",NULL,"No",366929,426527,"E00063635","C1",2531
"Blackburn with Darwen","E06000008","Roman Road","Fishmoor Drive","Blackburn","Lancashire","BB2 3UY","CL",NULL,"No",368943,425885,"E00063527","C1",1403
"Blackpool","E06000009","Anchorsholme","Luton Road","Blackpool","Lancashire","FY5 3RS","LAL",10090937670,"No",332202,442017,"E00063838","C1",12555
"Blackpool","E06000009","Blackpool Central","Queen Street","Blackpool","Lancashire","FY1 1PX","LAL",10000866669,"No",330771,436547,"E00063922","C1",3
"Blackpool","E06000009","Layton","Talbot Road","Blackpool","Lancashire","FY3 7BD","LAL",100012611755,"No",332128,437257,"E00064071","C1",4123
"Blackpool","E06000009","Library @ the Grange","Bathhurst Avenue","Blackpool","Lancashire","FY3 7RW","LAL",10090938425,"No",333128.69,437437.89,"E00064145","C1",160
"Blackpool","E06000009","Mereside","4b Crummock Place","Blackpool","Lancashire","FY4 4TP","LAL",100012614023,"No",334402,434156,"E00063967","C1",269
"Blackpool","E06000009","Moor Park","Bristol Avenue","Blackpool","Lancashire","FY2 0JG","LAL",100012610744,"No",331904.94,439627.15,"E00064059","C1",5791
"Blackpool","E06000009","Palatine","St Annes Road","Blackpool","Lancashire","FY4 2AP","LAL",10008479602,"No",331488,433707,"E00064273","C1",3433
"Blackpool","E06000009","Revoe","Revoe Street","Blackpool","Lancashire","FY1 5HN","LAL",10000868895,"No",331275,435237,"E00064279","C1",957
"Bolton","E08000001","Blackrod Library","Church Street","Bolton","Greater Manchester","BL6 5EQ","LAL",100012561842,"No",361283,411042,"E00024202","C1",24390
"Bolton","E08000001","Bolton Central Library","Le Mans Crescent","Bolton","Greater Manchester","BL1 1SE","LAL",10070920617,"No",371540,409063,"E00171673","A1",2131
"Bolton","E08000001","Breightmet Library","Breightmet Health Centre, Breightmet Fold Lane","Bolton","Greater Manchester","BL2 6NT","LAL",100012557228,"Yes",374656.1,409597.63,"E00024290","A1",3900
"Bolton","E08000001","Bromley Cross Library","The Crescent","Bolton","Greater Manchester","BL7 9JU","LAL",100012562822,"No",372407,413482,"E00024333","A1",16159
"Bolton","E08000001","Farnworth Library","Market Street","Bolton","Greater Manchester","BL4 7PG","LAL",100012559910,"No",373811,406160,"E00024579","A1",5789
"Bolton","E08000001","Halliwell UCAN Neighbourhood Collection","Hatfield Road","Bolton","Greater Manchester","BL1 3BU","LAL-",100012552960,"Yes",370388,410234,"E00024647","A1",6819
"Bolton","E08000001","Harwood Library","Gate Fold","Bolton","Greater Manchester","BL2 3HN","LAL",200002541946,"No",373851,412094,"E00024232","A1",23271
"Bolton","E08000001","Heaton Neighbourhood Collection","New Hall Lane","Bolton","Greater Manchester","BL1 5LF","LAL-",10070919482,"Yes",369334,409928.11,"E00024527","A1",27107
"Bolton","E08000001","High Street Library","High Street","Bolton","Greater Manchester","BL3 6SZ","LAL",200002546452,"No",370995,407940,"E00024561","A1",5164
"Bolton","E08000001","Horwich Library","Jones Street","Bolton","Greater Manchester","BL6 7AJ","LAL",100012562329,"No",363754,411839,"E00024737","C1",5019
"Bolton","E08000001","Little Lever Library","Coronation Square","Bolton","Greater Manchester","BL3 1LP","LAL",100012557521,"No",375647,407272,"E00024872","A1",13842
"Bolton","E08000001","Oldhams Neighbourhood Collection","Forfar Street","Bolton","Greater Manchester","BL1 6RN","LAL-",10070915271,"Yes",371060.02,412130.44,"E00024151","A1",8058
"Bolton","E08000001","Tonge Moor UCAN Neighbourhood Collection","Tonge Moor Road","Bolton","Greater Manchester","BL2 2LE","LAL-",100012556410,"Yes",372818,410625,"E00024953","A1",1370
"Bolton","E08000001","Westhoughton Library","Library Street","Bolton","Greater Manchester","BL5 3AT","LAL",100012561164,"No",365610,405945,"E00024809","A1",17059
"Bournemouth, Christchurch and Poole","E06000058","Boscombe Library","Hawkwood Road","Bournemouth","Dorset","BH5 1BY","LAL",10022904945,"No",411629,91918,"E00172759","C1",3420
"Bournemouth, Christchurch and Poole","E06000058","Bournemouth Library","22 The Triangle","Bournemouth","Dorset","BH2 5RQ","LAL",10014276961,"Yes",408234.26,91234.56,"E00077258","C1",8051
"Bournemouth, Christchurch and Poole","E06000058","Branksome Library","212 Ashley Road","Poole","Dorset","BH14 9BY","LAL",10001092636,"No",404909,92109,"E00077816","C1",11821
"Bournemouth, Christchurch and Poole","E06000058","Broadstone Library","10 Story Lane","Poole","Dorset","BH18 8EQ","LAL",100041095775,"No",400555,95638,"E00077870","C1",31895
"Bournemouth, Christchurch and Poole","E06000058","Canford Cliffs Library","Weston Road","Poole","Dorset","BH13 7BN","LAL",100041091145,"No",406031.09,89520.38,"E00077887","C1",31521
"Bournemouth, Christchurch and Poole","E06000058","Canford Heath Library","Mitchell Road","Poole","Dorset","BH17 8UE","LAL",100041056196,"No",402582,93526,"E00077922","C1",23036
"Bournemouth, Christchurch and Poole","E06000058","Castlepoint Library","Castle Lane West","Bournemouth","Dorset","BH8 9UP","LAL",10013450576,"Yes",411170,94657,"E00077558","C1",11917
"Bournemouth, Christchurch and Poole","E06000058","Charminster Library","Strouden Avenue","Bournemouth","Dorset","BH8 9HT","LAL",100041112456,"No",409889,93994,"E00077548","C1",28806
"Bournemouth, Christchurch and Poole","E06000058","Christchurch","Druitt Buildings High Street","Christchurch","Dorset","BH23 1AW","LAL",100041102406,"Yes",415790,92790,"E00103207","C1",25123
"Bournemouth, Christchurch and Poole","E06000058","Creekmoor Library","34 Northmead Drive","Poole","Dorset","BH17 7XZ","LAL",10001092208,"Yes",399748,93628,"E00077949","C1",22284
"Bournemouth, Christchurch and Poole","E06000058","Ensbury Park","31 Columbia Road","Bournemouth","Dorset","BH10 4DZ","LAL",100041087055,"No",408015,94711,"E00172746","C1",18938
"Bournemouth, Christchurch and Poole","E06000058","Hamworthy Library","Blandford Road","Poole","Dorset","BH15 4BG","LAL",10090374943,"No",399801.19,90570.89,"E00077982","C1",13809
"Bournemouth, Christchurch and Poole","E06000058","Highcliffe","Gordon Road","Highcliffe","Dorset","BH23 5HN","LAL",100041046870,"No",421498.1,93720.07,"E00103108","C1",29972
"Bournemouth, Christchurch and Poole","E06000058","Kinson Hub","The Kinson Hub, Wimborne Road","Bournemouth","Dorset","BH11 9AW","LAL",10023870600,"Yes",407020.31,96626.15,"E00077364","C1",11209
"Bournemouth, Christchurch and Poole","E06000058","Oakdale Library","Wimborne Road","Poole","Dorset","BH15 3EF","LAL",100041057186,"No",401685,92612,"E00078100","C1",27628
"Bournemouth, Christchurch and Poole","E06000058","Parkstone Library","Britannia Road","Poole","Dorset","BH14 8AZ","LAL",100041055355,"Yes",403356,91464,"E00078139","C1",26299
"Bournemouth, Christchurch and Poole","E06000058","Pokesdown & Southbourne Library","Seabourne Road","Bournemouth","Dorset","BH5 2HY","LAL",100041059911,"No",412765,92133,"E00077189","C1",6665
"Bournemouth, Christchurch and Poole","E06000058","Poole Library","Dolphin Centre","Poole","Dorset","BH15 1QE","LAL",10001091279,"Yes",401532,91004,"E00172094","C1",5384
"Bournemouth, Christchurch and Poole","E06000058","Rossmore Library","Herbert Avenue","Poole","Dorset","BH12 4HR","LAL",10001093999,"No",404737,93623,"E00077765","C1",15796
"Bournemouth, Christchurch and Poole","E06000058","Springbourne Library","Holdenhurst Road","Bournemouth","Dorset","BH8 8BX","LAL",100041111764,"No",410470,92474,"E00077290","C1",7587
"Bournemouth, Christchurch and Poole","E06000058","Tuckton Library","Wick Lane","Bournemouth","Dorset","BH6 4LF","LAL",100041109376,"No",415149,92037,"E00077339","C1",23309
"Bournemouth, Christchurch and Poole","E06000058","West Howe Library","Cunningham Crescent","Bournemouth","Dorset","BH11 8DU","LAL",10013444269,"No",406437.5,95338.98,"E00077394","C1",2446
"Bournemouth, Christchurch and Poole","E06000058","Westbourne Library","Alum Chine Road","Bournemouth","Dorset","BH4 8DX","LAL",100041106190,"No",407007,91353,"E00077712","C1",8273
"Bournemouth, Christchurch and Poole","E06000058","Winton Library","Wimborne Road","Bournemouth","Dorset","BH9 2EN","LAL",100041113745,"Yes",408689,94126,"E00077742","C1",13880
"Bracknell Forest","E06000036","Ascot Heath","Fernbank Road","North Ascot","Berkshire","SL5 8LA","LAL",NULL,"No",491145,169925,"E00081780","C1",32253
"Bracknell Forest","E06000036","Binfield","Benetfeld Road","Binfield","Berkshire","RG42 4JZ","LAL",NULL,"No",484133,170893,"E00081800","C1",29809
"Bracknell Forest","E06000036","Birch Hill","Leppington","Bracknell","Berkshire","RG12 7WW","LAL",NULL,"No",486919,166537,"E00081965","C1",15873
"Bracknell Forest","E06000036","Bracknell Central","Town Square","Bracknell","Berkshire","RG12 1BH","LAL",NULL,"No",487189,169462,"E00166677","C1",8461
"Bracknell Forest","E06000036","Crowthorne","162 High Street","Crowthorne","Berkshire","RG45 7AT","LAL",NULL,"No",484075,163964,"E00081900","C1",31336
"Bracknell Forest","E06000036","Great Hollands","The Square","Bracknell","Berkshire","RG12 8UX","LAL",NULL,"No",485606,167426,"E00081910","C1",11606
"Bracknell Forest","E06000036","Harmans Water","The Square","Bracknell","Berkshire","RG12 9LP","LAL",NULL,"Yes",488272,168225,"E00081982","C1",15633
"Bracknell Forest","E06000036","Sandhurst","The Broadway","Sandhurst","Berkshire","GU47 9BL","LAL",NULL,"No",483910,161419,"E00081847","C1",23365
"Bracknell Forest","E06000036","Whitegrove","5 County Lane","Bracknell","Berkshire","RG42 3JP","LAL",NULL,"No",488298,170457,"E00082071","C1",31623
"Bradford","E08000032","Addingham Library","Main Street","Ilkley","West Yorkshire","LS29 0NS","CRL",NULL,"No",407668,449854,"E00053692","D1",26378
"Bradford","E08000032","Allerton Library","Library @ Cafe West, Wanstead Crescent","Bradford","West Yorkshire","BD15 7PA","CRL",NULL,"No",411930,433866,"E00054463","A1",418
"Bradford","E08000032","Baildon Library","Hallcliffe","Shipley","West Yorkshire","BD17 6ND","LAL",NULL,"No",415618,439692,"E00053399","A1",27438
