"Local authority","Local authority code","Library name","Address 1","Address 2","Address 3","Postcode","Library type","Unique property reference number","Co-located","Easting","Northing","OA Code","Rural urban classification","IMD"
"Barking and Dagenham","E09000002","Barking","2 Town Square","Barking","Essex","IG11 7NB","LAL",100053358,"No",544343,183985,"E00175105","A1",7796
"Barking and Dagenham","E09000002","Dagenham","1 Church Elm Lane","Dagenham","Essex","RM10 9QS","LAL",10023599312,"No",549090,184574,"E00000442","A1",4861
"Barking and Dagenham","E09000002","Marks Gate","Marks Gate Community Centre, Rose Lane","Marks Gate","Essex","RM6 5NJ","LAL",100027163,"Yes",548081,189545,"E00000138","A1",3924
"Barking and Dagenham","E09000002","Robert Jeyes Community Library","High Road","Chadwell Heath","Essex","RM6 6AS","CRL",NULL,"No",548585,188149,"E00000566","A1",11942
"Barking and Dagenham","E09000002","Thames View","Sue Bramley Centre, Bastable Avenue","Barking","Essex","IG11 0LG","LAL",NULL,"Yes",546039,183101,"E00000472","A1",3154
"Barking and Dagenham","E09000002","Valence","Becontree Avenue","Dagenham","Essex","RM8 3HT","LAL",100002560,"No",548043,186539,"E00000502","A1",5112
"Barnet","E09000003","Burnt Oak","Watling Avenue","Edgware","Greater London","HA8 0UB","LAL",200155264,"Yes",520377.11,190808.84,"E00000663","A1",5326
"Barnet","E09000003","Childs Hill","320 Cricklewood Lane","London","Greater London","NW2 2QE","LAL",200219960,"Yes",524815.3,186351.41,"E00000672","A1",20124
"Barnet","E09000003","Chipping Barnet","3 Stapylton Road","Barnet","Greater London","EN5 4QT","LAL",200107378,"Yes",524281.25,196788.26,"E00001228","A1",24732
"Barnet","E09000003","Colindale","Colindale Library c/o Barnet & Southgate College,  7 Bristol Avenue","Colindale","Greater London","NW9 5XL","LAL",10093995729,"Yes",521608.75,190205.11,"E00000749","A1",3941
"Barnet","E09000003","East Finchley","226 High Road","London","Greater London","N2 9BB","LAL",200061457,"Yes",527027.21,189931.74,"E00000883","A1",22875
"Barnet","E09000003","Edgware","Hale Lane","Edgware","Greater London","HA8 8NN","LAL",200220766,"Yes",519595.87,192238.02,"E00000953","A1",18005
"Barnet","E09000003","Finchley Church End","318 Regents Park Road","London","Greater London","N3 2LN","LAL",10093302213,"No",525115.65,190547.33,"E00000989","A1",18830
"Barnet","E09000003","Friern Barnet Community Library","Friern Barnet Road","London","Greater London","N11 3DS","ICL",200044867,"No",527950.7,192137.57,"E00000777","A1",14236
"Barnet","E09000003","Garden Suburb Community Library","15 The Market Place","London","Greater London","NW11 6LB","ICL",200207760,"No",525956.29,189057.17,"E00001034","A1",28661
"Barnet","E09000003","Golders Green","156 Golders Green Road","London","Greater London","NW11 8HE","LAL",200049056,"Yes",524710.75,187741.63,"E00000691","A1",13510
"Barnet","E09000003","Hendon","The Burroughs","London","Greater London","NW4 4BQ","LAL",200222812,"Yes",522790.18,189234.21,"E00001164","A1",13622
"Barnet","E09000003","Mill Hill","Hartley Avenue","London","Greater London","NW7 2HX","LAL",200057669,"Yes",521739.79,192190.39,"E00001268","A1",21196
"Barnet","E09000003","New Barnet Leisure Centre & Library","Victoria Recreation Ground, 1 Lawton Road","New Barnet","Greater London","EN4 9BS","LAL",10094708007,"Yes",526764.02,196469.97,"E00000865","A1",9176
"Barnet","E09000003","North Finchley","Ravensdale Avenue","North Finchley","Greater London","N12 9HP","LAL",200097082,"No",526381.33,192658.68,"E00001580","A1",16148
"Barnet","E09000003","Osidge","Brunswick Park Road","London","Greater London","N11 1EY","LAL",200140830,"No",528206.99,194011.44,"E00000590","A1",22055
"Barnet","E09000003","South Friern","Colney Hatch Lane","London","Greater London","N10 1HD","LAL",200147125,"No",528364.19,190698.99,"E00000800","A1",22939
"Barnsley","E08000016","Cudworth","Cudworth Centre of Excellence, Roberts Street","Barnsley","South Yorkshire","S72 8UQ","LAL",2007005463,"Yes",438545.38,409068.79,"E00037210","B1",8247
"Barnsley","E08000016","Darfield","Church Street","Barnsley","South Yorkshire","S73 9LG","LAL",100052201818,"No",441635.84,404274.18,"E00037254","B1",11747
"Barnsley","E08000016","Dodworth","High Street","Barnsley","South Yorkshire","S75 3RF","LAL",100052116975,"No",431474,405188,"E00037437","B1",12229
"Barnsley","E08000016","Goldthorpe","Barnsley Road","Rotherham","South Yorkshire","S63 9NE","LAL",10032777091,"Yes",446126,404384,"E00037376","B1",1983
"Barnsley","E08000016","Grimethorpe","The Acorn Centre, High Street","Barnsley","South Yorkshire","S72 7BB","LAL",100052202038,"Yes",441048.87,408923.88,"E00037147","D1",2868
"Barnsley","E08000016","Hoyland","High Croft","Barnsley","South Yorkshire","S74 9AF","LAL",100052116064,"Yes",437325.71,400526.79,"E00037450","B1",6527
"Barnsley","E08000016","Library @ The Lightbox","1 The Glass Works","Barnsley","South Yorkshire","S70 1GW","LAL",2007014965,"No",434570.5,406370.44,"E00037176","B1",6301
"Barnsley","E08000016","Mapplewell","Mapplewell & Staincross Village Hall, Darton Lane","Barnsley","South Yorkshire","S75 6AL","LAL",2007005667,"Yes",432723.03,410043.53,"E00037308","B1",16360
"Barnsley","E08000016","Penistone","High Street","Sheffield","South Yorkshire","S36 6BR","LAL",100052096222,"Yes",424608,403037,"E00037636","C1",9058
"Barnsley","E08000016","Priory","Priory Campus, Pontefract Road","Barnsley","South Yorkshire","S71 5PN","CL",100052114097,"Yes",437144,406766,"E00037524","B1",5033
"Barnsley","E08000016","Roundhouse","Roundhouse Lifelong Learning Centre, Laithe Crescent","Barnsley","South Yorkshire","S71 3AE","LAL",2007005466,"Yes",434594,409480,"E00037132","B1",4719
"Barnsley","E08000016","Royston","Royston Lifelong Learning Centre, Station Road","Barnsley","South Yorkshire","S71 4EP","LAL",2007005464,"Yes",436118.1,411628.48,"E00037679","B1",10231
"Barnsley","E08000016","Thurnscoe","2 Shepherd Lane","Rotherham","South Yorkshire","S63 0JS","LAL",100052104371,"Yes",445739.18,405594.72,"E00037368","B1",7987
"Barnsley","E08000016","Wombwell","Station Road","Barnsley","South Yorkshire","S73 0BA","LAL",100052114992,"No",440072.95,402998.44,"E00037794","B1",5770
"Barnsley","E08000016","Worsbrough","Elm House Estate, Queensway","Barnsley","South Yorkshire","S70 5EN","LAL",100052112109,"No",435606,404023,"E00037807","B1",2716
"Bath and North East Somerset","E06000022","Bath Central Library","Podium Centre","Bath","Somerset","BA1 5AN","LAL",10001145438,"No",375114,165003,"E00072573","C1",8999
"Bath and North East Somerset","E06000022","Bishop Sutton Community Library","The Link, The Street","Bishop Sutton","Somerset","BS39 5UU","CRL",10001143373,"No",358723,159835,"E00072653","E1",32007
"Bath and North East Somerset","E06000022","Chew Stoke Community Library","Stoke Inn","Chew Stoke","Somerset","BS40 8XE","ICL",100120051925,"No",355934,161656,"E00072646","E1",28637
"Bath and North East Somerset","E06000022","Combe Hay Community Library","Combe Hay Church","Combe Hay","Somerset","BA2 7EG","ICL",10001144703,"No",373502,159835,"E00072626","F1",19650
"Bath and North East Somerset","E06000022","Keynsham Library & Information Centre","Market Walk","Keynsham","Somerset","BS31 1FS","LAL",10091546109,"No",365495.61,168430.03,"E00072745","C1",19717
"Bath and North East Somerset","E06000022","Larkhall Community Library","New Oriel Hall","Bath","Somerset","BA1 6RA","ICL",10001146782,"No",376027,166596,"E00072792","C1",15501
"Bath and North East Somerset","E06000022","Love Weston Library","Church Street","Weston","Somerset","BA1 4BU","CRL",100120006076,"No",372950.08,166400.75,"E00073116","C1",14931
"Bath and North East Somerset","E06000022","Midsomer Norton Library & Information Centre","The Hollies, High Street","Midsomer Norton","Somerset","BA3 2DP","LAL",10001123837,"Yes",366454,154228,"E00072854","C1",22056
"Bath and North East Somerset","E06000022","Moorland Road Community Library","Moorland Road","Bath","Somerset","BA2 3PL","CRL",100121174752,"No",373662,164387,"E00072910","C1",30061
"Bath and North East Somerset","E06000022","Paulton Library @ The Hub","Unit 1 & 2 Hillcourt, High Street","Paulton","Somerset","BS39 7QG","LAL",100121179908,"No",365110.97,156529.46,"E00072927","C1",28191
"Bath and North East Somerset","E06000022","Peasedown St. John Community Library","33a, St. John's Close","Peasedown St. John","Somerset","BA2 8JG","CRL",10001127346,"No",369988,157134,"E00072954","D1",10682
"Bath and North East Somerset","E06000022","Radstock Community Hub","The Street","Radstock","Somerset","BA3 3PR","CRL",10001132133,"No",368889,154769,"E00072979","C1",16479
"Bath and North East Somerset","E06000022","Saltford Community Library & Post Office","478a Bath Road","Saltford","Somerset","BS31 3DJ","CRL",100121179356,"Yes",368205,167098,"E00072988","D1",25824
"Bath and North East Somerset","E06000022","Southside Community Library","Southside Youth Hub, Kelston View","Bath","Somerset","BA2 1NR","ICL",100121173967,"No",371949,164018,"E00073040","C1",5488
"Bath and North East Somerset","E06000022","Timsbury Community Library","North Road","Timsbury","Somerset","BA2 0JH","CRL",100121176847,"No",367133,158831,"E00073023","D1",31177
"Bedford","E06000055","Bedford Central Library","Harpur Street","Bedford","Bedfordshire","MK40 1PG","LAL",100081206253,"No",504934,249773,"E00173770","C1",12069
"Bedford","E06000055","Bromham","Springfield Drive","Bedford","Bedfordshire","MK43 8NT","LAL",NULL,"No",500431,251170,"E00088179","D1",27916
"Bedford","E06000055","Kempston","Halsey Road","Bedford","Bedfordshire","MK42 8AU","LAL",NULL,"No",503243,248047,"E00088407","C1",4773
"Bedford","E06000055","Putnoe","Library Walk","Bedford","Bedfordshire","MK41 8HQ","LAL",NULL,"No",506762,251875,"E00088506","C1",28780
"Bedford","E06000055","Wootton","Lorraine Road","Bedford","Bedfordshire","MK43 9LH","LAL",100081212353,"No",500859,245511,"E00088607","D1",19129
"Bexley","E09000004","Bexley Community Library","Bourne Road","Kent","Greater London","DA5 1LU","CRL",NULL,"No",549614,173849,"E00002177","A1",23573
"Bexley","E09000004","Blackfen Community Library","7-9 Blackfen Parade, Blackfen Road","Kent","Greater London","DA15 9LU","CRL",NULL,"No",546316,174463,"E00001705","A1",21205
"Bexley","E09000004","Bostall Community Library","King Harolds Way","Kent","Greater London","DA7 5RE","CRL",NULL,"No",548100,177408,"E00002064","A1",27687
"Bexley","E09000004","Central Library","Townley Road","Kent","Greater London","DA6 7HJ","LAL",100022922362,"No",549040,175181,"E00001774","A1",22591
"Bexley","E09000004","Crayford Library","176 Town Hall Square","Kent","Greater London","DA1 4FN","LAL",NULL,"Yes",551609,174612,"E00001848","A1",13034
"Bexley","E09000004","Erith Library","100 High Street","Kent","Greater London","DA8 1SL","LAL",NULL,"No",551575,177864,"E00166767","A1",8758
"Bexley","E09000004","North Heath Community Library","Mill Road","Kent","Greater London","DA8 1HW","CRL",NULL,"No",550153,177120,"E00002152","A1",9105
"Bexley","E09000004","Sidcup Library","Hadlow Road","Kent","Greater London","DA14 4AQ","LAL",10011860940,"No",546445,171750,"E00002263","A1",22343
"Bexley","E09000004","Slade Green Community Library","Chrome Road","Kent","Greater London","DA8 2EL","CRL",NULL,"Yes",552235,177181,"E00002122","A1",8530
"Bexley","E09000004","Thamesmead Library","Binsey Walk","London","Greater London","SE2 9TR","LAL",NULL,"No",547402,180100,"E00002276","A1",3992
"Bexley","E09000004","Upper Belvedere Community Library","Woolwich Road","Kent","Greater London","DA17 5EQ","CRL",NULL,"No",549094,178281,"E00001629","A1",9136
"Bexley","E09000004","Welling Library","Bellegrove Road","Kent","Greater London","DA16 3PA","LAL",NULL,"Yes",546451,175824,"E00002037","A1",19500
"Birmingham","E08000025","Acocks Green Library","Shirley Road","Birmingham","West Midlands","B27 7XH","LAL",NULL,"No",412049,283023,"E00045815","A1",7107
"Birmingham","E08000025","Aston Library","99 Whitehead Road","Birmingham","West Midlands","B6 6EJ","LAL",NULL,"Yes",407467,289648,"E00045231","A1",1768
"Birmingham","E08000025","Balsall Heath Library","Moseley Road","Birmingham","West Midlands","B12 9BX","LAL",NULL,"No",407877,284558,"E00047494","A1",101
"Birmingham","E08000025","Bartley Green Library","Adams Hill","Birmingham","West Midlands","B32 3QG","LAL",NULL,"Yes",400199,282010,"E00045301","A1",12383
"Birmingham","E08000025","Birchfield Library","Trinity Road","Birmingham","West Midlands","B6 6AH","LAL",NULL,"No",406766,290130,"E00045919","A1",2990
"Birmingham","E08000025","Bloomsbury Library","The POD Oliver Street, Nechells Parkway","Birmingham","West Midlands","B7 4NX","CL",NULL,"Yes",408472,288377,"E00046662","A1",451
"Birmingham","E08000025","Boldmere Library","119 Boldmere Road","Birmingham","West Midlands","B73 5TU","LAL",NULL,"No",410908,294369,"E00047923","A1",20969
"Birmingham","E08000025","Castle Vale Library","10 High Street","Birmingham","West Midlands","B35 7PR","CRL",NULL,"No",414750,291497,"E00046163","A1",1247
"Birmingham","E08000025","Druids Heath Library","Idmiston Croft","Birmingham","West Midlands","B14 5NJ","LAL",NULL,"No",407621,278841,"E00045515","A1",38
"Birmingham","E08000025","Erdington Library","Orphanage Road","Birmingham","West Midlands","B24 9HP","LAL",NULL,"No",411203,292031,"E00045687","A1",2300
"Birmingham","E08000025","Frankley Library","New Street","Birmingham","West Midlands","B45 0EU","LAL",NULL,"Yes",398964,278541,"E00046511","A1",2325
"Birmingham","E08000025","Glebe Farm Library","Glebe Farm Road","Birmingham","West Midlands","B33 9NA","LAL",NULL,"No",414044,288082,"E00046131","A1",709
"Birmingham","E08000025","Hall Green Library","1221 Stratford Road","Birmingham","West Midlands","B28 9AD","LAL",NULL,"No",410525,281787,"E00045856","A1",6828
"Birmingham","E08000025","Handsworth Library","Soho Road","Birmingham","West Midlands","B21 9DP","LAL",NULL,"No",404893,289399,"E00047431","A1",2636
"Birmingham","E08000025","Harborne Library","High Street","Birmingham","West Midlands","B17 9QG","LAL",NULL,"No",403390,284497,"E00045986","A1",23292
"Birmingham","E08000025","Kings Heath Library","High Street","Birmingham","West Midlands","B14 7SW","LAL",NULL,"No",407374,282188,"E00046588","A1",13024
"Birmingham","E08000025","Kings Norton Library","Pershore Road South","Birmingham","West Midlands","B30 3EU","LAL",NULL,"No",404986,279092,"E00046223","A1",11219
"Birmingham","E08000025","Kingstanding Library","Kingstanding Road","Birmingham","West Midlands","B44 9ST","LAL",NULL,"No",407872,294909,"E00046804","A1",8871
